Trial,time_merge,comp_merge,time_hybrid,comp_hybrid
1,1492063900,220043724,1810253500,215734076
2,1377632700,220044996,1330037700,215731806
3,1386628300,220046726,1297879100,215734438
4,1405643300,220047661,1284105700,215732929
5,1433470900,220050122,1308849600,215739556
6,1389261300,220048890,1286855500,215738742
7,1398889200,220048845,1314037200,215735605
8,1386181200,220046358,1301935400,215735562
9,1367858200,220045336,1283740200,215733830
10,1407434500,220045354,1317485700,215734652
11,1505113800,220046730,1716522000,215737883
12,1385284100,220046711,1284603000,215738705
13,1372909200,220049912,1288329400,215728363
14,1382903300,220048686,1295011700,215728735
15,1407209100,220047354,1319644000,215733783
16,1439571400,220048777,1299731900,215733378
17,1378845900,220050109,1303442500,215736306
18,1370004500,220047972,1288414800,215733875
19,1396598500,220047985,1300853100,215735804
20,1379009100,220045334,1303630300,215733599
